gene	wt	wt_1	wt_2	ko	ko_1	ko_2
Tpx2	3853	2946	17991	2609	2398	2841
Tra2a	9972	7164	42595	7056	9594	8496
Tra2b	11893	8379	48928	7912	10711	9275
Trabd	3761	2659	16577	2441	3998	3293
Trabd2b	0	0	0	1	1	0
Tradd	2056	1500	8268	1310	1977	1658
Traf1	5268	3535	19904	2774	4938	4269
Traf2	3433	2570	14425	2069	3140	2563
Traf3	6910	5049	29155	4526	6751	5658
Traf3ip1	1447	1000	5962	928	1122	1090
Traf3ip2	1638	1144	6604	972	1491	1107
Traf3ip3	3312	2081	14803	2024	4203	2543
Traf4	5995	4083	24111	3959	5868	5525
Traf5	1170	805	5033	785	1197	915
Traf6	6066	4386	27788	4363	7202	5948
Traf7	7503	5277	31262	4726	6186	5201
Trafd1	1347	1009	5723	774	1394	1166
Traip	1975	1424	8137	1176	1229	1262
Trak1	4196	3187	19728	2949	4147	3475
Trak2	5542	4021	23519	3883	4911	4250
Tram1	6091	4375	27113	4362	6645	5716
Tram1l1	0	0	0	0	0	0
Tram2	258	214	1431	210	213	177
Trank1	4	0	2	0	0	0
Trap1	14351	10112	58854	9265	11890	9598
Trap1a	0	0	0	0	0	0
Trappc1	949	617	3535	533	901	741
Trappc10	5580	4080	24690	3570	4977	4101
Trappc11	3480	2417	14912	2309	3236	2844
Trappc12	3378	2373	14829	2225	3039	2378
Trappc13	3273	2307	13691	2100	2785	2610
Trappc2	123	83	466	74	138	107
Trappc2l	1058	757	4080	635	989	825
Trappc3	2496	1801	10328	1527	2393	2179
Trappc3l	1	0	1	1	2	0
Trappc4	3684	2581	14531	2262	3673	3077
Trappc5	3570	2454	14147	2171	2902	2477
Trappc6a	933	619	3873	606	866	718
Trappc6b	2391	1665	9211	1557	2074	1863
Trappc8	3633	2711	15406	2483	3286	2813
Trappc9	2275	1693	10038	1452	1928	1512
Trat1	1014	603	4293	503	582	434
Trcg1	5	2	9	2	2	0
Trdmt1	450	327	1975	309	374	335
Trdn	0	0	0	0	0	0
Treh	0	0	0	0	0	0
Trem1	0	0	0	0	0	3
Trem2	0	0	0	0	0	2
Trem3	0	0	0	0	0	1
Treml1	1	0	15	1	26	16
Treml2	2082	1546	11764	1548	3458	2439
Treml4	0	0	2	0	4	3
Trerf1	789	611	3661	512	711	598
Trex1	1519	1086	5399	871	1426	1209
Trex2	0	0	1	2	0	0
Trf	11	14	84	12	14	18
Trh	0	0	0	0	0	0
Trhde	0	0	0	0	0	0
Trhr	0	0	0	0	0	0
Trhr2	0	0	2	0	0	0
Triap1	1658	1122	6344	1020	1406	1180
Trib1	2880	2158	14790	2000	3639	2786
Trib2	2420	1478	9849	1775	4564	3072
Trib3	292	164	1164	202	400	376
Tril	0	0	0	0	0	0
Trim10	1	0	0	0	0	1
Trim11	2486	1687	10505	1534	2440	1870
Trim12a	628	425	2649	328	747	358
Trim12c	1537	1089	6861	962	1875	1204
Trim13	137	94	479	88	149	119
Trim14	925	644	4038	541	951	662
Trim15	3	3	19	1	4	7
Trim16	61	33	236	26	69	62
Trim17	44	20	157	25	37	38
Trim2	198	133	430	89	86	114
Trim21	1605	1127	6958	1075	1722	1193
Trim23	816	566	3532	578	776	692
Trim24	2886	2142	12447	1890	2344	2053
Trim25	5122	3791	22865	3090	4657	3914
Trim26	2659	1999	11189	1732	2904	2107
Trim27	11654	8261	47370	7292	9479	8612
Trim28	47950	33135	192295	30176	38448	33925
Trim29	0	0	0	0	0	0
Trim3	781	532	2760	431	539	432
Trim30a	2529	1958	10235	1345	2373	1633
Trim30b	2	1	0	0	2	1
Trim30d	252	260	1069	84	267	143
Trim30e-ps1	0	0	0	0	0	0
Trim31	0	0	0	0	0	0
Trim32	2381	1538	9841	1540	2286	1831
Trim33	4176	3013	17855	2818	3615	3076
Trim34a	318	187	1323	123	369	203
Trim34b	9	1	16	2	6	2
Trim35	4085	2981	17623	2663	3777	3415
Trim36	29	36	172	33	60	41
Trim37	4075	2951	17420	2699	3221	3176
Trim38	0	0	0	0	0	0
Trim39	2402	1697	9998	1586	2259	1932
Trim40	0	0	0	1	2	0
Trim41	1880	1314	8325	1229	2110	1632
Trim42	1	0	0	0	2	0
Trim43a	2	0	1	2	0	1
Trim43b	0	0	2	0	0	2
Trim43c	3	2	10	2	1	2
Trim44	6895	5064	30325	4777	6244	5236
Trim45	242	177	994	164	213	177
Trim46	167	138	623	94	168	179
Trim47	28	36	103	48	47	41
Trim50	0	0	2	0	0	0
Trim52	0	0	0	0	0	0
Trim54	0	0	0	0	0	0
Trim55	1	0	0	0	0	0
Trim56	1696	1177	7056	1003	1314	1134
Trim58	1	0	14	0	18	15
Trim59	2852	1922	11391	1813	2761	2340
Trim6	5	5	14	2	5	4
Trim60	0	0	0	0	0	0
Trim61	0	0	0	0	0	0
Trim62	387	230	1276	181	288	221
Trim63	0	0	1	0	2	0
Trim65	977	699	4190	749	954	779
Trim66	162	135	787	95	77	158
Trim67	6	5	21	6	2	0
Trim68	403	272	1549	267	388	283
Trim69	13	2	19	4	1	5
Trim7	28	17	93	14	16	15
Trim71	19	17	91	21	5	13
Trim72	4	3	8	2	7	3
Trim75	0	0	1	0	0	1
Trim8	8354	6127	37171	5456	7371	6683
Trim80	0	0	1	0	1	0
Trim9	2	4	17	4	1	3
Triml1	0	0	0	0	0	0
Triml2	0	0	0	0	0	0
Trio	2985	2152	12303	1826	2409	2114
Triobp	2444	1805	11486	1490	2535	2110
Trip10	1118	754	4309	667	886	914
Trip11	2263	1723	10124	1602	1920	1873
Trip12	21588	15551	95443	14651	18623	16630
Trip13	4616	3233	18381	2941	3076	3278
Trip4	1680	1171	7116	1115	1677	1323
Trip6	413	261	1753	270	401	327
Triqk	1	0	3	0	0	0
Trit1	1372	1002	5497	890	1308	1047
Trmt1	10014	6975	40783	6637	8681	7306
Trmt10a	1372	1030	5735	1014	1071	960
Trmt10b	663	469	2710	447	656	520
Trmt10c	3155	2205	12365	2065	2730	2414
Trmt11	1792	1189	6651	1191	1573	1314
Trmt112	5050	3543	20196	3288	4770	4004
Trmt12	711	487	3007	448	640	471
Trmt13	351	273	1738	266	358	328
Trmt1l	2849	2029	12699	1872	2676	2184
Trmt2a	8017	5498	32303	5017	6448	5700
Trmt2b	1379	960	5523	886	1053	940
Trmt44	989	740	3968	683	900	745
Trmt5	1846	1261	6955	1193	1492	1223
Trmt6	7654	5490	30498	4893	6334	5729
Trmt61a	5267	3788	20848	3427	4531	3674
Trmt61b	439	289	1594	275	329	303
Trmu	1004	778	3807	662	951	679
Trnau1ap	4398	3067	17126	2939	3876	3347
Trnp1	6	0	11	3	2	1
Trnt1	4330	3115	16662	2943	3835	3395
Tro	0	0	11	1	0	1
Troap	1018	705	4755	649	709	718
Trove2	294	219	1211	225	270	316
Trp53	14111	9741	55317	8620	11107	9395
Trp53bp1	5560	3797	23714	3642	4621	3935
Trp53bp2	1900	1240	8297	1214	2041	1537
Trp53cor1	3	4	6	2	2	2
Trp53i11	1249	918	5834	703	969	991
Trp53i13	520	367	2414	322	470	544
Trp53inp1	3431	1914	13728	1906	4387	2682
Trp53inp2	205	187	969	159	187	172
Trp53rka	1713	1182	6915	1125	1633	1265
Trp53rkb	671	505	2725	442	574	527
Trp53tg5	22	16	75	9	22	12
Trp63	0	0	1	0	1	0
Trp73	4	2	12	2	1	1
Trpa1	2	0	14	0	2	1
Trpc1	0	3	7	1	5	4
Trpc2	0	0	0	0	0	0
Trpc3	3	0	2	3	1	2
Trpc4	0	0	0	0	0	1
Trpc4ap	8454	5793	35802	5387	8661	6641
Trpc5	2	1	13	1	0	3
Trpc5os	1	1	22	2	0	3
Trpc6	2	0	9	0	12	10
Trpc7	0	0	0	0	0	0
Trpd52l3	0	0	0	0	0	0
Trpm1	25	16	198	27	39	30
Trpm2	1	1	3	3	3	9
Trpm3	0	0	0	0	0	0
Trpm4	552	499	2262	359	466	493
Trpm5	0	0	1	0	0	1
Trpm6	68	83	274	31	33	70
Trpm7	6256	4526	27214	4317	5179	4716
Trpm8	0	0	2	0	0	0
Trps1	423	331	1901	305	481	501
Trpt1	133	80	559	99	151	101
Trpv1	0	0	0	1	0	0
Trpv2	1177	879	5085	762	1357	1115
Trpv3	0	0	0	0	0	0
Trpv4	20	23	82	19	20	23
Trpv5	0	1	1	0	0	2
Trpv6	26	26	142	25	46	19
Trrap	16739	11657	73550	10836	12359	11146
Trub1	2744	1883	11148	1792	2390	1931
Trub2	2799	2009	11487	1717	2394	2133
Try10	0	0	1	0	0	0
Try4	0	0	2	0	0	0
Try5	1	0	6	1	2	2
Tsacc	89	72	364	64	87	62
Tsc1	3198	2237	14129	2045	2632	2200
Tsc2	5781	4335	24537	3542	4624	3913
Tsc22d1	519	361	2198	350	671	432
Tsc22d2	2807	2102	12098	1761	2613	2168
Tsc22d3	288	223	1354	182	662	328
Tsc22d4	10226	7105	43100	6593	9626	7752
Tsen15	1416	995	5309	886	1117	1050
Tsen2	1300	972	5243	876	1134	956
Tsen34	1349	1014	5516	837	1147	952
Tsen54	2689	1960	10954	1741	2411	2071
Tsfm	3876	2604	14321	2334	3012	2735
Tsg101	2371	1686	9560	1551	2306	1941
Tsga10	25	14	60	12	15	14
Tsga13	0	0	0	0	0	0
Tsga8	0	0	0	0	0	0
Tshb	2	1	12	2	1	0
Tshr	2	1	3	0	0	0
Tshz1	3735	2695	16174	2306	2838	2371
Tshz2	14	12	81	13	102	64
Tshz3	30	21	156	10	6	10
Tsix	2	1	9	0	1	0
Tsks	1	0	4	1	2	0
Tsku	3	1	12	1	0	1
